time,open,high,low,close
2023-10-08T21:00:00Z,1.22373,1.22373,1.22052,1.22064
2023-10-08T21:01:00Z,1.22064,1.22064,1.22043,1.22045
2023-10-08T21:02:00Z,1.22045,1.2206,1.2204,1.2204
2023-10-08T21:04:00Z,1.2204,1.22054,1.2204,1.22054
2023-10-08T21:05:00Z,1.22054,1.22054,1.22053,1.22054
2023-10-08T21:06:00Z,1.22054,1.22054,1.22051,1.22053
2023-10-08T21:07:00Z,1.22053,1.22053,1.2205,1.22051
2023-10-08T21:08:00Z,1.22051,1.22053,1.2205,1.22053
2023-10-08T21:09:00Z,1.22053,1.22053,1.22046,1.22048
2023-10-08T21:10:00Z,1.22048,1.22048,1.22042,1.22042
2023-10-08T21:11:00Z,1.22042,1.22046,1.2204,1.22046
2023-10-08T21:12:00Z,1.22046,1.22046,1.22015,1.22022
2023-10-08T21:13:00Z,1.22022,1.22023,1.22013,1.22017
2023-10-08T21:14:00Z,1.22017,1.22017,1.22008,1.22015
2023-10-08T21:15:00Z,1.22015,1.22019,1.22015,1.22019
2023-10-08T21:16:00Z,1.22019,1.2202,1.22018,1.22019
2023-10-08T21:17:00Z,1.22019,1.22021,1.22018,1.22021
2023-10-08T21:18:00Z,1.22021,1.22022,1.22021,1.22022
2023-10-08T21:19:00Z,1.22022,1.22023,1.22022,1.22023
2023-10-08T21:20:00Z,1.22023,1.22023,1.22022,1.22022
2023-10-08T21:21:00Z,1.22022,1.22022,1.22011,1.22014
2023-10-08T21:22:00Z,1.22014,1.22018,1.22012,1.22018
2023-10-08T21:23:00Z,1.22018,1.22018,1.22016,1.22018
2023-10-08T21:24:00Z,1.22018,1.22018,1.22017,1.22017
2023-10-08T21:25:00Z,1.22017,1.22018,1.22016,1.22017
2023-10-08T21:26:00Z,1.22017,1.22021,1.22017,1.22019
2023-10-08T21:27:00Z,1.22019,1.22019,1.22019,1.22019
2023-10-08T21:28:00Z,1.22019,1.22019,1.22018,1.22018
2023-10-08T21:29:00Z,1.22018,1.22019,1.22018,1.22019
2023-10-08T21:30:00Z,1.22019,1.22022,1.22015,1.22015
2023-10-08T21:31:00Z,1.22015,1.22017,1.22015,1.22017
2023-10-08T21:32:00Z,1.22017,1.22017,1.22015,1.22015
2023-10-08T21:33:00Z,1.22015,1.22026,1.22015,1.22025
2023-10-08T21:34:00Z,1.22025,1.22025,1.22013,1.22014
2023-10-08T21:35:00Z,1.22014,1.22015,1.22012,1.22013
2023-10-08T21:36:00Z,1.22013,1.22016,1.22009,1.2201
2023-10-08T21:37:00Z,1.2201,1.2201,1.22008,1.22009
2023-10-08T21:39:00Z,1.22009,1.22011,1.22009,1.22009
2023-10-08T21:40:00Z,1.22009,1.22015,1.22009,1.22013
2023-10-08T21:41:00Z,1.22013,1.22015,1.22012,1.22013
2023-10-08T21:42:00Z,1.22013,1.22016,1.22009,1.22015
2023-10-08T21:43:00Z,1.22015,1.22015,1.22012,1.22015
2023-10-08T21:44:00Z,1.22015,1.22015,1.22011,1.22011
2023-10-08T21:45:00Z,1.22011,1.22023,1.22011,1.22023
2023-10-08T21:46:00Z,1.22023,1.22027,1.22022,1.22026
2023-10-08T21:47:00Z,1.22026,1.22027,1.22021,1.22022
2023-10-08T21:48:00Z,1.22022,1.22026,1.22022,1.22026
2023-10-08T21:49:00Z,1.22026,1.2203,1.22026,1.22028
2023-10-08T21:50:00Z,1.22028,1.22031,1.22024,1.2203
2023-10-08T21:51:00Z,1.2203,1.2203,1.22027,1.22027
2023-10-08T21:52:00Z,1.22027,1.22028,1.22027,1.22027
2023-10-08T21:53:00Z,1.22027,1.22027,1.22027,1.22027
2023-10-08T21:55:00Z,1.22027,1.2203,1.22027,1.2203
2023-10-08T21:56:00Z,1.2203,1.2203,1.22028,1.22029
2023-10-08T21:57:00Z,1.22029,1.22029,1.22028,1.22028
2023-10-08T21:58:00Z,1.22028,1.22028,1.22027,1.22028
2023-10-08T21:59:00Z,1.22028,1.2203,1.22028,1.2203
2023-10-08T22:00:00Z,1.2203,1.22054,1.22018,1.2203
2023-10-08T22:01:00Z,1.2203,1.22144,1.2203,1.22117
2023-10-08T22:02:00Z,1.22117,1.2212,1.22091,1.22091
2023-10-08T22:03:00Z,1.22091,1.2212,1.22091,1.22096
2023-10-08T22:04:00Z,1.22096,1.22101,1.2205,1.22056
2023-10-08T22:05:00Z,1.22056,1.22097,1.22056,1.22086
2023-10-08T22:06:00Z,1.22086,1.22086,1.22051,1.22061
2023-10-08T22:07:00Z,1.22061,1.22077,1.2205,1.22077
2023-10-08T22:08:00Z,1.22077,1.22114,1.22077,1.22102
2023-10-08T22:09:00Z,1.22102,1.22102,1.22042,1.22043
2023-10-08T22:10:00Z,1.22043,1.22052,1.22037,1.22038
2023-10-08T22:11:00Z,1.22038,1.2204,1.22007,1.22007
2023-10-08T22:12:00Z,1.22007,1.22041,1.22004,1.22039
2023-10-08T22:13:00Z,1.22039,1.22041,1.22019,1.22023
2023-10-08T22:14:00Z,1.22023,1.22046,1.22019,1.22046
2023-10-08T22:15:00Z,1.22046,1.22062,1.22008,1.2206
2023-10-08T22:16:00Z,1.2206,1.22086,1.22057,1.22086
2023-10-08T22:17:00Z,1.22086,1.22115,1.22078,1.22114
2023-10-08T22:18:00Z,1.22114,1.22114,1.22057,1.22062
2023-10-08T22:19:00Z,1.22062,1.22081,1.22058,1.22075
2023-10-08T22:20:00Z,1.22075,1.22076,1.2205,1.22058
2023-10-08T22:21:00Z,1.22058,1.22071,1.22049,1.22049
2023-10-08T22:22:00Z,1.22049,1.22072,1.22048,1.22059
2023-10-08T22:23:00Z,1.22059,1.2207,1.22052,1.22053
2023-10-08T22:24:00Z,1.22053,1.22076,1.22053,1.22068
2023-10-08T22:25:00Z,1.22068,1.22075,1.22061,1.22061
2023-10-08T22:26:00Z,1.22061,1.22062,1.22054,1.22059
2023-10-08T22:27:00Z,1.22059,1.22092,1.22058,1.22092
2023-10-08T22:28:00Z,1.22092,1.22104,1.22089,1.2209
2023-10-08T22:29:00Z,1.2209,1.2209,1.22069,1.2207
2023-10-08T22:30:00Z,1.2207,1.22111,1.22059,1.22105
2023-10-08T22:31:00Z,1.22105,1.22106,1.22079,1.22081
2023-10-08T22:32:00Z,1.22081,1.221,1.22078,1.22079
2023-10-08T22:33:00Z,1.22079,1.22108,1.22078,1.22098
2023-10-08T22:34:00Z,1.22098,1.22105,1.2209,1.221
2023-10-08T22:35:00Z,1.221,1.22109,1.22088,1.22108
2023-10-08T22:36:00Z,1.22108,1.22141,1.22108,1.22134
2023-10-08T22:37:00Z,1.22134,1.2214,1.22126,1.22128
2023-10-08T22:38:00Z,1.22128,1.2213,1.22116,1.22119
2023-10-08T22:39:00Z,1.22119,1.2213,1.22117,1.22119
2023-10-08T22:40:00Z,1.22119,1.2213,1.22107,1.22129
2023-10-08T22:41:00Z,1.22129,1.2213,1.22109,1.22116
2023-10-08T22:42:00Z,1.22116,1.22132,1.2211,1.22111
2023-10-08T22:43:00Z,1.22111,1.22111,1.22095,1.22095
2023-10-08T22:44:00Z,1.22095,1.221,1.2209,1.22097
2023-10-08T22:45:00Z,1.22097,1.22103,1.22089,1.22099
2023-10-08T22:46:00Z,1.22099,1.22131,1.22099,1.22129
2023-10-08T22:47:00Z,1.22129,1.2213,1.22117,1.22119
2023-10-08T22:48:00Z,1.22119,1.22121,1.22116,1.22118
2023-10-08T22:49:00Z,1.22118,1.22118,1.22097,1.22099
2023-10-08T22:50:00Z,1.22099,1.2211,1.22089,1.22109
2023-10-08T22:51:00Z,1.22109,1.2211,1.22101,1.22109
2023-10-08T22:52:00Z,1.22109,1.2211,1.221,1.22102
2023-10-08T22:53:00Z,1.22102,1.22121,1.22098,1.2212
2023-10-08T22:54:00Z,1.2212,1.22132,1.2212,1.22129
2023-10-08T22:55:00Z,1.22129,1.2213,1.22129,1.22129
2023-10-08T22:56:00Z,1.22129,1.22149,1.22129,1.2214
2023-10-08T22:57:00Z,1.2214,1.22141,1.22118,1.22119
2023-10-08T22:58:00Z,1.22119,1.22129,1.22117,1.22129
2023-10-08T22:59:00Z,1.22129,1.2213,1.22117,1.2213
2023-10-08T23:00:00Z,1.2213,1.22148,1.22128,1.22147
