time,open,high,low,close
2024-07-28T21:02:00Z,104.328,104.328,104.328,104.328
2024-07-28T22:00:00Z,104.318,104.32,104.31,104.31
2024-07-28T22:01:00Z,104.313,104.313,104.307,104.309
2024-07-28T22:02:00Z,104.307,104.314,104.306,104.314
2024-07-28T22:03:00Z,104.31,104.312,104.306,104.306
2024-07-28T22:04:00Z,104.305,104.314,104.305,104.314
2024-07-28T22:05:00Z,104.32,104.322,104.316,104.321
2024-07-28T22:06:00Z,104.321,104.327,104.317,104.319
2024-07-28T22:07:00Z,104.318,104.318,104.314,104.314
2024-07-28T22:08:00Z,104.313,104.314,104.313,104.314
2024-07-28T22:09:00Z,104.315,104.315,104.31,104.311
2024-07-28T22:10:00Z,104.311,104.311,104.308,104.308
2024-07-28T22:11:00Z,104.309,104.309,104.305,104.307
2024-07-28T22:12:00Z,104.307,104.309,104.306,104.306
2024-07-28T22:13:00Z,104.302,104.302,104.296,104.296
2024-07-28T22:14:00Z,104.298,104.3,104.297,104.297
2024-07-28T22:15:00Z,104.296,104.297,104.293,104.293
2024-07-28T22:16:00Z,104.298,104.298,104.293,104.293
2024-07-28T22:17:00Z,104.295,104.298,104.294,104.296
2024-07-28T22:18:00Z,104.296,104.298,104.294,104.294
2024-07-28T22:19:00Z,104.297,104.297,104.291,104.292
2024-07-28T22:20:00Z,104.295,104.295,104.294,104.294
2024-07-28T22:21:00Z,104.295,104.296,104.294,104.294
2024-07-28T22:22:00Z,104.293,104.295,104.291,104.293
2024-07-28T22:23:00Z,104.294,104.296,104.294,104.295
2024-07-28T22:24:00Z,104.293,104.296,104.292,104.292
2024-07-28T22:25:00Z,104.291,104.294,104.291,104.292
2024-07-28T22:26:00Z,104.293,104.297,104.292,104.297
2024-07-28T22:27:00Z,104.299,104.299,104.294,104.296
2024-07-28T22:28:00Z,104.3,104.3,104.294,104.296
2024-07-28T22:29:00Z,104.299,104.299,104.296,104.298
2024-07-28T22:30:00Z,104.298,104.306,104.298,104.303
2024-07-28T22:31:00Z,104.308,104.308,104.301,104.302
2024-07-28T22:32:00Z,104.303,104.305,104.303,104.304
2024-07-28T22:33:00Z,104.302,104.308,104.302,104.308
2024-07-28T22:34:00Z,104.306,104.307,104.304,104.307
2024-07-28T22:35:00Z,104.306,104.312,104.304,104.311
2024-07-28T22:36:00Z,104.312,104.315,104.312,104.314
2024-07-28T22:37:00Z,104.318,104.318,104.315,104.316
2024-07-28T22:38:00Z,104.317,104.319,104.316,104.318
2024-07-28T22:39:00Z,104.317,104.317,104.309,104.309
2024-07-28T22:40:00Z,104.307,104.309,104.304,104.305
2024-07-28T22:41:00Z,104.306,104.307,104.305,104.307
2024-07-28T22:42:00Z,104.307,104.313,104.307,104.313
2024-07-28T22:43:00Z,104.31,104.314,104.31,104.311
2024-07-28T22:44:00Z,104.312,104.315,104.311,104.315
2024-07-28T22:45:00Z,104.314,104.325,104.314,104.325
2024-07-28T22:46:00Z,104.326,104.332,104.325,104.332
2024-07-28T22:47:00Z,104.332,104.332,104.329,104.329
2024-07-28T22:48:00Z,104.329,104.332,104.328,104.331
2024-07-28T22:49:00Z,104.329,104.331,104.328,104.33
2024-07-28T22:50:00Z,104.332,104.332,104.328,104.329
2024-07-28T22:51:00Z,104.328,104.334,104.327,104.334
2024-07-28T22:52:00Z,104.335,104.339,104.334,104.339
2024-07-28T22:53:00Z,104.34,104.34,104.336,104.338
2024-07-28T22:54:00Z,104.337,104.339,104.334,104.334
2024-07-28T22:55:00Z,104.334,104.337,104.333,104.335
2024-07-28T22:56:00Z,104.335,104.336,104.333,104.334
2024-07-28T22:57:00Z,104.333,104.341,104.332,104.341
2024-07-28T22:58:00Z,104.339,104.342,104.338,104.342
2024-07-28T22:59:00Z,104.343,104.344,104.342,104.344
2024-07-28T23:00:00Z,104.344,104.344,104.338,104.341
2024-07-28T23:01:00Z,104.344,104.349,104.344,104.347
2024-07-28T23:02:00Z,104.349,104.352,104.348,104.351
2024-07-28T23:03:00Z,104.352,104.355,104.351,104.353
2024-07-28T23:04:00Z,104.355,104.355,104.352,104.353
2024-07-28T23:05:00Z,104.352,104.354,104.349,104.35
2024-07-28T23:06:00Z,104.355,104.355,104.352,104.353
2024-07-28T23:07:00Z,104.355,104.358,104.355,104.358
2024-07-28T23:08:00Z,104.359,104.36,104.356,104.36
2024-07-28T23:09:00Z,104.359,104.359,104.354,104.357
2024-07-28T23:10:00Z,104.36,104.36,104.356,104.358
2024-07-28T23:11:00Z,104.357,104.358,104.354,104.356
2024-07-28T23:12:00Z,104.357,104.361,104.357,104.361
2024-07-28T23:13:00Z,104.359,104.361,104.359,104.361
2024-07-28T23:14:00Z,104.361,104.365,104.36,104.365
2024-07-28T23:15:00Z,104.366,104.371,104.366,104.37
2024-07-28T23:16:00Z,104.37,104.373,104.369,104.372
2024-07-28T23:17:00Z,104.373,104.373,104.37,104.372
2024-07-28T23:18:00Z,104.37,104.371,104.367,104.367
2024-07-28T23:19:00Z,104.365,104.37,104.365,104.367
2024-07-28T23:20:00Z,104.37,104.372,104.368,104.372
2024-07-28T23:21:00Z,104.367,104.37,104.363,104.366
2024-07-28T23:22:00Z,104.365,104.367,104.364,104.364
2024-07-28T23:23:00Z,104.364,104.365,104.36,104.36
2024-07-28T23:24:00Z,104.361,104.361,104.357,104.357
2024-07-28T23:25:00Z,104.358,104.359,104.355,104.355
2024-07-28T23:26:00Z,104.353,104.355,104.353,104.355
2024-07-28T23:27:00Z,104.353,104.358,104.353,104.358
2024-07-28T23:28:00Z,104.356,104.358,104.356,104.358
2024-07-28T23:29:00Z,104.36,104.367,104.36,104.364
2024-07-28T23:30:00Z,104.368,104.368,104.363,104.366
2024-07-28T23:31:00Z,104.367,104.373,104.367,104.371
2024-07-28T23:32:00Z,104.37,104.372,104.367,104.367
2024-07-28T23:33:00Z,104.371,104.371,104.367,104.371
2024-07-28T23:34:00Z,104.373,104.373,104.371,104.371
2024-07-28T23:35:00Z,104.373,104.373,104.369,104.369
2024-07-28T23:36:00Z,104.371,104.371,104.37,104.37
2024-07-28T23:37:00Z,104.372,104.372,104.365,104.366
2024-07-28T23:38:00Z,104.37,104.37,104.361,104.363
2024-07-28T23:39:00Z,104.362,104.364,104.36,104.36
2024-07-28T23:40:00Z,104.363,104.363,104.359,104.36
2024-07-28T23:41:00Z,104.357,104.357,104.352,104.355
2024-07-28T23:42:00Z,104.356,104.356,104.353,104.355
2024-07-28T23:43:00Z,104.353,104.355,104.353,104.355
2024-07-28T23:44:00Z,104.357,104.359,104.356,104.358
2024-07-28T23:45:00Z,104.36,104.36,104.354,104.354
2024-07-28T23:46:00Z,104.355,104.357,104.352,104.352
2024-07-28T23:47:00Z,104.352,104.355,104.351,104.351
