time,open,high,low,close
2024-03-17T21:14:00Z,103.446,103.446,103.446,103.446
2024-03-17T22:00:00Z,103.436,103.436,103.431,103.432
2024-03-17T22:01:00Z,103.431,103.435,103.43,103.43
2024-03-17T22:02:00Z,103.429,103.433,103.428,103.428
2024-03-17T22:03:00Z,103.428,103.428,103.426,103.426
2024-03-17T22:04:00Z,103.426,103.429,103.425,103.427
2024-03-17T22:05:00Z,103.425,103.429,103.425,103.427
2024-03-17T22:06:00Z,103.425,103.427,103.422,103.422
2024-03-17T22:07:00Z,103.422,103.424,103.421,103.421
2024-03-17T22:08:00Z,103.421,103.423,103.419,103.419
2024-03-17T22:09:00Z,103.422,103.422,103.417,103.418
2024-03-17T22:10:00Z,103.417,103.419,103.416,103.418
2024-03-17T22:11:00Z,103.421,103.422,103.417,103.419
2024-03-17T22:12:00Z,103.423,103.423,103.419,103.423
2024-03-17T22:13:00Z,103.422,103.425,103.42,103.424
2024-03-17T22:14:00Z,103.422,103.425,103.42,103.423
2024-03-17T22:15:00Z,103.422,103.427,103.421,103.425
2024-03-17T22:16:00Z,103.423,103.426,103.421,103.423
2024-03-17T22:17:00Z,103.427,103.432,103.422,103.431
2024-03-17T22:18:00Z,103.431,103.435,103.43,103.434
2024-03-17T22:19:00Z,103.433,103.439,103.433,103.438
2024-03-17T22:20:00Z,103.441,103.441,103.434,103.436
2024-03-17T22:21:00Z,103.435,103.438,103.433,103.437
2024-03-17T22:22:00Z,103.438,103.438,103.435,103.435
2024-03-17T22:23:00Z,103.436,103.438,103.434,103.434
2024-03-17T22:24:00Z,103.434,103.437,103.432,103.435
2024-03-17T22:25:00Z,103.438,103.438,103.433,103.434
2024-03-17T22:26:00Z,103.438,103.438,103.432,103.434
2024-03-17T22:27:00Z,103.433,103.436,103.433,103.436
2024-03-17T22:28:00Z,103.439,103.44,103.435,103.436
2024-03-17T22:29:00Z,103.439,103.441,103.436,103.438
2024-03-17T22:30:00Z,103.44,103.441,103.436,103.439
2024-03-17T22:31:00Z,103.44,103.443,103.438,103.441
2024-03-17T22:32:00Z,103.442,103.443,103.438,103.44
2024-03-17T22:33:00Z,103.444,103.444,103.439,103.44
2024-03-17T22:34:00Z,103.444,103.445,103.44,103.441
2024-03-17T22:35:00Z,103.443,103.445,103.438,103.444
2024-03-17T22:36:00Z,103.446,103.446,103.442,103.443
2024-03-17T22:37:00Z,103.446,103.446,103.443,103.446
2024-03-17T22:38:00Z,103.447,103.447,103.444,103.446
2024-03-17T22:39:00Z,103.447,103.447,103.442,103.442
