time,open,high,low,close
2023-12-03T22:08:00Z,103.193,103.193,103.193,103.193
2023-12-03T23:00:00Z,103.177,103.184,103.154,103.154
2023-12-03T23:01:00Z,103.153,103.16,103.145,103.16
2023-12-03T23:02:00Z,103.161,103.162,103.155,103.161
2023-12-03T23:03:00Z,103.16,103.16,103.145,103.151
2023-12-03T23:04:00Z,103.151,103.152,103.145,103.147
2023-12-03T23:05:00Z,103.147,103.148,103.136,103.14
2023-12-03T23:06:00Z,103.14,103.147,103.139,103.146
2023-12-03T23:07:00Z,103.146,103.159,103.145,103.159
2023-12-03T23:08:00Z,103.159,103.16,103.156,103.159
2023-12-03T23:09:00Z,103.158,103.158,103.145,103.146
2023-12-03T23:10:00Z,103.146,103.146,103.137,103.139
2023-12-03T23:11:00Z,103.139,103.144,103.139,103.144
2023-12-03T23:12:00Z,103.144,103.145,103.14,103.14
2023-12-03T23:13:00Z,103.14,103.141,103.139,103.141
2023-12-03T23:14:00Z,103.141,103.151,103.141,103.149
2023-12-03T23:15:00Z,103.148,103.153,103.14,103.14
2023-12-03T23:16:00Z,103.14,103.141,103.118,103.125
2023-12-03T23:17:00Z,103.126,103.128,103.124,103.124
2023-12-03T23:18:00Z,103.125,103.125,103.107,103.107
2023-12-03T23:19:00Z,103.107,103.112,103.104,103.111
2023-12-03T23:20:00Z,103.112,103.116,103.104,103.104
2023-12-03T23:21:00Z,103.105,103.107,103.1,103.103
2023-12-03T23:22:00Z,103.103,103.108,103.097,103.097
2023-12-03T23:23:00Z,103.098,103.104,103.097,103.104
2023-12-03T23:24:00Z,103.104,103.106,103.094,103.094
2023-12-03T23:25:00Z,103.094,103.099,103.093,103.098
2023-12-03T23:26:00Z,103.098,103.098,103.084,103.084
2023-12-03T23:27:00Z,103.084,103.084,103.073,103.073
2023-12-03T23:28:00Z,103.073,103.076,103.064,103.074
2023-12-03T23:29:00Z,103.073,103.082,103.073,103.082
2023-12-03T23:30:00Z,103.081,103.088,103.073,103.088
2023-12-03T23:31:00Z,103.088,103.101,103.086,103.099
2023-12-03T23:32:00Z,103.099,103.109,103.099,103.107
2023-12-03T23:33:00Z,103.107,103.108,103.097,103.098
2023-12-03T23:34:00Z,103.098,103.104,103.097,103.103
2023-12-03T23:35:00Z,103.104,103.116,103.103,103.113
2023-12-03T23:36:00Z,103.113,103.118,103.11,103.116
2023-12-03T23:37:00Z,103.116,103.117,103.111,103.115
2023-12-03T23:38:00Z,103.115,103.12,103.115,103.117
2023-12-03T23:39:00Z,103.117,103.119,103.112,103.118
2023-12-03T23:40:00Z,103.119,103.125,103.117,103.124
2023-12-03T23:41:00Z,103.124,103.139,103.124,103.135
2023-12-03T23:42:00Z,103.135,103.135,103.132,103.133
2023-12-03T23:43:00Z,103.133,103.14,103.133,103.14
2023-12-03T23:44:00Z,103.14,103.14,103.132,103.132
2023-12-03T23:45:00Z,103.132,103.133,103.123,103.127
2023-12-03T23:46:00Z,103.127,103.128,103.12,103.12
2023-12-03T23:47:00Z,103.12,103.122,103.117,103.122
2023-12-03T23:48:00Z,103.122,103.122,103.113,103.113
2023-12-03T23:49:00Z,103.113,103.115,103.105,103.115
2023-12-03T23:50:00Z,103.115,103.12,103.115,103.115
2023-12-03T23:51:00Z,103.116,103.117,103.109,103.11
2023-12-03T23:52:00Z,103.11,103.116,103.108,103.115
2023-12-03T23:53:00Z,103.114,103.116,103.111,103.116
2023-12-03T23:54:00Z,103.114,103.117,103.112,103.113
2023-12-03T23:55:00Z,103.112,103.112,103.106,103.106
2023-12-03T23:56:00Z,103.105,103.115,103.105,103.115
2023-12-03T23:57:00Z,103.115,103.132,103.115,103.131
2023-12-03T23:58:00Z,103.131,103.131,103.12,103.131
2023-12-03T23:59:00Z,103.129,103.134,103.129,103.13
2023-12-04T00:00:00Z,103.129,103.137,103.128,103.129
2023-12-04T00:01:00Z,103.129,103.141,103.125,103.136
2023-12-04T00:02:00Z,103.136,103.136,103.127,103.127
2023-12-04T00:03:00Z,103.127,103.145,103.127,103.145
2023-12-04T00:04:00Z,103.145,103.161,103.145,103.16
2023-12-04T00:05:00Z,103.16,103.16,103.151,103.154
2023-12-04T00:06:00Z,103.155,103.159,103.152,103.153
2023-12-04T00:07:00Z,103.152,103.175,103.152,103.171
2023-12-04T00:08:00Z,103.17,103.175,103.166,103.173
2023-12-04T00:09:00Z,103.173,103.177,103.165,103.174
2023-12-04T00:10:00Z,103.173,103.173,103.158,103.159
2023-12-04T00:11:00Z,103.158,103.16,103.155,103.16
2023-12-04T00:12:00Z,103.16,103.161,103.153,103.154
2023-12-04T00:13:00Z,103.155,103.161,103.153,103.161
2023-12-04T00:14:00Z,103.161,103.161,103.152,103.157
2023-12-04T00:15:00Z,103.158,103.16,103.148,103.16
2023-12-04T00:16:00Z,103.16,103.163,103.155,103.155
2023-12-04T00:17:00Z,103.155,103.158,103.154,103.156
2023-12-04T00:18:00Z,103.155,103.156,103.149,103.15
2023-12-04T00:19:00Z,103.15,103.154,103.144,103.152
2023-12-04T00:20:00Z,103.152,103.152,103.146,103.15
2023-12-04T00:21:00Z,103.151,103.161,103.149,103.15
2023-12-04T00:22:00Z,103.15,103.15,103.13,103.13
2023-12-04T00:23:00Z,103.129,103.146,103.129,103.146
2023-12-04T00:24:00Z,103.146,103.149,103.144,103.148
2023-12-04T00:25:00Z,103.148,103.156,103.145,103.146
2023-12-04T00:26:00Z,103.145,103.15,103.142,103.149
2023-12-04T00:27:00Z,103.149,103.16,103.149,103.153
