time,open,high,low,close
2023-08-06T21:00:00Z,1.10081,1.10175,1.10081,1.10175
2023-08-06T21:01:00Z,1.10175,1.10175,1.1017,1.10172
2023-08-06T21:03:00Z,1.10172,1.10177,1.10169,1.10172
2023-08-06T21:04:00Z,1.10172,1.10172,1.10165,1.1017
2023-08-06T21:05:00Z,1.1017,1.10172,1.10163,1.10171
2023-08-06T21:06:00Z,1.10171,1.10172,1.10164,1.10164
2023-08-06T21:07:00Z,1.10164,1.10164,1.10153,1.10153
2023-08-06T21:09:00Z,1.10153,1.10153,1.1014,1.10151
2023-08-06T21:10:00Z,1.10151,1.10153,1.10143,1.10146
2023-08-06T21:11:00Z,1.10146,1.10167,1.10145,1.10166
2023-08-06T21:12:00Z,1.10166,1.10167,1.10152,1.10152
2023-08-06T21:13:00Z,1.10152,1.10159,1.10152,1.10154
2023-08-06T21:14:00Z,1.10154,1.10157,1.10146,1.1015
2023-08-06T21:15:00Z,1.1015,1.10175,1.10144,1.10149
2023-08-06T21:16:00Z,1.10149,1.10149,1.10144,1.10144
2023-08-06T21:17:00Z,1.10144,1.10145,1.10144,1.10145
2023-08-06T21:18:00Z,1.10145,1.10149,1.10142,1.10142
2023-08-06T21:19:00Z,1.10142,1.10144,1.10139,1.10141
2023-08-06T21:20:00Z,1.10141,1.10141,1.10139,1.1014
2023-08-06T21:21:00Z,1.1014,1.10144,1.10138,1.10144
2023-08-06T21:22:00Z,1.10144,1.10157,1.10144,1.10157
2023-08-06T21:23:00Z,1.10157,1.1016,1.10156,1.10156
2023-08-06T21:24:00Z,1.10156,1.10159,1.10143,1.10147
2023-08-06T21:25:00Z,1.10147,1.10149,1.10147,1.10148
2023-08-06T21:26:00Z,1.10148,1.10149,1.10148,1.10149
2023-08-06T21:27:00Z,1.10149,1.10155,1.10149,1.10155
2023-08-06T21:28:00Z,1.10155,1.10167,1.10151,1.10151
2023-08-06T21:29:00Z,1.10151,1.10152,1.10149,1.1015
2023-08-06T21:30:00Z,1.1015,1.1015,1.10127,1.10127
2023-08-06T21:31:00Z,1.10127,1.10148,1.10121,1.10125
2023-08-06T21:32:00Z,1.10125,1.10129,1.10123,1.10129
2023-08-06T21:33:00Z,1.10129,1.10137,1.10119,1.10129
2023-08-06T21:34:00Z,1.10129,1.10167,1.10129,1.10155
2023-08-06T21:35:00Z,1.10155,1.10162,1.10154,1.10161
2023-08-06T21:36:00Z,1.10161,1.10166,1.10161,1.10165
2023-08-06T21:37:00Z,1.10165,1.10167,1.10165,1.10167
2023-08-06T21:38:00Z,1.10167,1.10168,1.10163,1.10163
2023-08-06T21:39:00Z,1.10163,1.10163,1.10157,1.10157
2023-08-06T21:40:00Z,1.10157,1.10157,1.1012,1.1012
2023-08-06T21:41:00Z,1.1012,1.10124,1.10116,1.10123
2023-08-06T21:42:00Z,1.10123,1.10127,1.10117,1.10124
2023-08-06T21:43:00Z,1.10124,1.10126,1.10118,1.10118
2023-08-06T21:44:00Z,1.10118,1.10129,1.10117,1.10127
2023-08-06T21:45:00Z,1.10127,1.10131,1.10127,1.10128
2023-08-06T21:46:00Z,1.10128,1.10129,1.10128,1.10128
2023-08-06T21:47:00Z,1.10128,1.10129,1.10122,1.10124
2023-08-06T21:48:00Z,1.10124,1.10125,1.10119,1.10119
2023-08-06T21:49:00Z,1.10119,1.10119,1.10111,1.10112
2023-08-06T21:50:00Z,1.10112,1.10119,1.1011,1.10117
2023-08-06T21:52:00Z,1.10117,1.10121,1.1011,1.1012
2023-08-06T21:53:00Z,1.1012,1.10121,1.10119,1.1012
2023-08-06T21:55:00Z,1.1012,1.1012,1.1012,1.1012
2023-08-06T21:56:00Z,1.1012,1.10121,1.1012,1.10121
2023-08-06T21:57:00Z,1.10121,1.10121,1.10119,1.10119
2023-08-06T21:58:00Z,1.10119,1.10121,1.10119,1.10119
2023-08-06T21:59:00Z,1.10119,1.10121,1.10119,1.10121
2023-08-06T22:00:00Z,1.10121,1.10125,1.10102,1.10119
2023-08-06T22:01:00Z,1.10119,1.10145,1.10115,1.10136
2023-08-06T22:02:00Z,1.10136,1.10136,1.10113,1.10114
2023-08-06T22:03:00Z,1.10114,1.10115,1.10099,1.10108
2023-08-06T22:04:00Z,1.10108,1.10112,1.10092,1.10094
2023-08-06T22:05:00Z,1.10094,1.10112,1.10094,1.10112
2023-08-06T22:06:00Z,1.10112,1.10113,1.10108,1.10113
2023-08-06T22:07:00Z,1.10113,1.10113,1.10108,1.10111
2023-08-06T22:08:00Z,1.10111,1.10115,1.10109,1.10111
2023-08-06T22:09:00Z,1.10111,1.10111,1.10105,1.10106
2023-08-06T22:10:00Z,1.10106,1.10107,1.10098,1.101
2023-08-06T22:11:00Z,1.101,1.10102,1.10094,1.10095
2023-08-06T22:12:00Z,1.10095,1.10097,1.10087,1.10095
2023-08-06T22:13:00Z,1.10095,1.10098,1.10094,1.10098
2023-08-06T22:14:00Z,1.10098,1.10107,1.10097,1.10102
2023-08-06T22:15:00Z,1.10102,1.10108,1.10098,1.10108
2023-08-06T22:16:00Z,1.10108,1.1011,1.10105,1.10107
2023-08-06T22:17:00Z,1.10107,1.10108,1.101,1.10103
2023-08-06T22:18:00Z,1.10103,1.10108,1.101,1.10108
2023-08-06T22:19:00Z,1.10108,1.10113,1.10104,1.10112
2023-08-06T22:20:00Z,1.10112,1.10117,1.10104,1.10106
2023-08-06T22:21:00Z,1.10106,1.10107,1.1009,1.10098
2023-08-06T22:22:00Z,1.10098,1.10099,1.10095,1.10097
2023-08-06T22:23:00Z,1.10097,1.10106,1.1009,1.10106
2023-08-06T22:24:00Z,1.10106,1.10107,1.10097,1.10097
2023-08-06T22:25:00Z,1.10097,1.10098,1.10093,1.10095
2023-08-06T22:26:00Z,1.10095,1.10097,1.10088,1.10089
2023-08-06T22:27:00Z,1.10089,1.10089,1.10084,1.10085
2023-08-06T22:28:00Z,1.10085,1.10086,1.10083,1.10085
2023-08-06T22:29:00Z,1.10085,1.10085,1.10078,1.1008
2023-08-06T22:30:00Z,1.1008,1.1008,1.1007,1.10071
2023-08-06T22:31:00Z,1.10071,1.10073,1.10065,1.10065
2023-08-06T22:32:00Z,1.10065,1.10065,1.10058,1.10059
2023-08-06T22:33:00Z,1.10059,1.1006,1.10057,1.10058
2023-08-06T22:34:00Z,1.10058,1.10068,1.10057,1.10068
2023-08-06T22:35:00Z,1.10068,1.10069,1.10065,1.10065
2023-08-06T22:36:00Z,1.10065,1.10066,1.10065,1.10066
2023-08-06T22:37:00Z,1.10066,1.10066,1.10053,1.10053
2023-08-06T22:38:00Z,1.10053,1.10055,1.10053,1.10054
2023-08-06T22:39:00Z,1.10054,1.10054,1.10043,1.10044
2023-08-06T22:40:00Z,1.10044,1.10048,1.10044,1.10046
2023-08-06T22:41:00Z,1.10046,1.10048,1.1004,1.10041
2023-08-06T22:42:00Z,1.10041,1.10041,1.10036,1.10037
2023-08-06T22:43:00Z,1.10037,1.10038,1.10036,1.10036
2023-08-06T22:44:00Z,1.10036,1.10042,1.10036,1.10041
2023-08-06T22:45:00Z,1.10041,1.10042,1.10039,1.10039
2023-08-06T22:46:00Z,1.10039,1.10047,1.10039,1.10046
2023-08-06T22:47:00Z,1.10046,1.10049,1.10046,1.10049
2023-08-06T22:48:00Z,1.10049,1.10049,1.1004,1.1004
2023-08-06T22:49:00Z,1.1004,1.10043,1.1004,1.10043
2023-08-06T22:50:00Z,1.10043,1.10049,1.1004,1.10041
2023-08-06T22:51:00Z,1.10041,1.10041,1.10039,1.10041
2023-08-06T22:52:00Z,1.10041,1.10042,1.1004,1.10041
2023-08-06T22:53:00Z,1.10041,1.10042,1.1004,1.1004
2023-08-06T22:54:00Z,1.1004,1.10041,1.10031,1.10031
2023-08-06T22:55:00Z,1.10031,1.10032,1.10028,1.10029
2023-08-06T22:56:00Z,1.10029,1.10043,1.10029,1.10041
2023-08-06T22:57:00Z,1.10041,1.10046,1.1004,1.10044
2023-08-06T22:58:00Z,1.10044,1.10048,1.10044,1.10048
2023-08-06T22:59:00Z,1.10048,1.10057,1.10047,1.10056
2023-08-06T23:00:00Z,1.10056,1.10057,1.10039,1.1004
2023-08-06T23:01:00Z,1.1004,1.10042,1.10039,1.10042
2023-08-06T23:02:00Z,1.10042,1.10044,1.10038,1.10038
2023-08-06T23:03:00Z,1.10038,1.10039,1.10025,1.10038
2023-08-06T23:04:00Z,1.10038,1.10038,1.10026,1.10028
2023-08-06T23:05:00Z,1.10028,1.10032,1.10025,1.10032
2023-08-06T23:06:00Z,1.10032,1.10038,1.10031,1.10037
2023-08-06T23:07:00Z,1.10037,1.10039,1.10036,1.10039
2023-08-06T23:08:00Z,1.10039,1.10039,1.10032,1.10032
2023-08-06T23:09:00Z,1.10032,1.10034,1.10023,1.10026
2023-08-06T23:10:00Z,1.10026,1.10032,1.10026,1.10026
2023-08-06T23:11:00Z,1.10026,1.10029,1.10018,1.10023
2023-08-06T23:12:00Z,1.10023,1.10027,1.1002,1.10025
2023-08-06T23:13:00Z,1.10025,1.10027,1.10024,1.10026
2023-08-06T23:14:00Z,1.10026,1.10028,1.10026,1.10027
2023-08-06T23:15:00Z,1.10027,1.10039,1.10024,1.10036
2023-08-06T23:16:00Z,1.10036,1.10039,1.1003,1.10039
2023-08-06T23:17:00Z,1.10039,1.1004,1.10034,1.10035
2023-08-06T23:18:00Z,1.10035,1.10035,1.10033,1.10034
2023-08-06T23:19:00Z,1.10034,1.10037,1.10029,1.1003
2023-08-06T23:20:00Z,1.1003,1.10035,1.1003,1.10034
2023-08-06T23:21:00Z,1.10034,1.10034,1.10027,1.10028
2023-08-06T23:22:00Z,1.10028,1.10028,1.10023,1.10024
2023-08-06T23:23:00Z,1.10024,1.10027,1.10023,1.10025
2023-08-06T23:24:00Z,1.10025,1.10025,1.1002,1.10021
2023-08-06T23:25:00Z,1.10021,1.10022,1.10015,1.1002
2023-08-06T23:26:00Z,1.1002,1.10025,1.10018,1.10024
2023-08-06T23:27:00Z,1.10024,1.10025,1.10021,1.10023
2023-08-06T23:28:00Z,1.10023,1.10027,1.10022,1.10025
2023-08-06T23:29:00Z,1.10025,1.10025,1.10024,1.10024
2023-08-06T23:30:00Z,1.10024,1.10026,1.10012,1.10014
2023-08-06T23:31:00Z,1.10014,1.10025,1.10013,1.10023
2023-08-06T23:32:00Z,1.10023,1.10023,1.10019,1.1002
2023-08-06T23:33:00Z,1.1002,1.10024,1.10019,1.10019
2023-08-06T23:34:00Z,1.10019,1.10024,1.10019,1.10022
